"","sp","nobs","occurrences","occurrences_perc","weight","number","weight_perc","mean_weight","se_weight","sd_weight","island","order","gear"
"1","Batoidea",165,0,0,0,0,0,0,0,0,"all",1,"Scoop net"
"2","Cephalopoda",165,0,0,0,0,0,0,0,0,"all",2,"Scoop net"
"3","Decapoda",165,0,0,0,0,0,0,0,0,"all",3,"Scoop net"
"4","Gastropoda",165,0,0,0,0,0,0,0,0,"all",4,"Scoop net"
"5","Selachimorpha",165,21,12.7272727272727,1340,25,0.194152812752652,8.12121212121212,2.25151321175431,28.9212108589214,"all",5,"Scoop net"
"6","Teleost",165,155,93.9393939393939,5561.78,14656,0.805847187247348,33.7077575757576,8.28042855539415,106.364030645058,"all",6,"Scoop net"
"7","Batoidea",1161,1,0.0861326442721792,6,1,8.52743649132116e-05,0.00516795865633075,0.00516795865633075,0.176090181265125,"all",1,"Surface gillnet"
"8","Cephalopoda",1161,0,0,0,0,0,0,0,0,"all",2,"Surface gillnet"
"9","Decapoda",1161,0,0,0,0,0,0,0,0,"all",3,"Surface gillnet"
"10","Gastropoda",1161,0,0,0,0,0,0,0,0,"all",4,"Surface gillnet"
"11","Selachimorpha",1161,2,0.172265288544358,160,2,0.00227398306435231,0.137812230835487,0.0981652878831704,3.34483003576574,"all",5,"Surface gillnet"
"12","Teleost",1161,1152,99.2248062015504,70195.1220805517,225249,0.997640742570734,60.4609147980635,9.75998214875609,332.556264476596,"all",6,"Surface gillnet"
"13","Batoidea",105,5,4.76190476190476,147.5,9,0.0759115823061681,1.4047619047619,1.15267834385038,11.8114382384227,"all",1,"Demersal gillnet"
"14","Cephalopoda",105,1,0.952380952380952,4,4,0.00205861918118422,0.0380952380952381,0.0380952380952381,0.390360029179413,"all",2,"Demersal gillnet"
"15","Decapoda",105,8,7.61904761904762,14.3,26,0.00735956357273359,0.136190476190476,0.0589456167304117,0.604012832505653,"all",3,"Demersal gillnet"
"16","Gastropoda",105,2,1.9047619047619,2,15,0.00102930959059211,0.019047619047619,0.0134037908157743,0.137347984566461,"all",4,"Demersal gillnet"
"17","Selachimorpha",105,27,25.7142857142857,457.1,68,0.235248706929827,4.35333333333333,1.4961091580973,15.3305568835243,"all",5,"Demersal gillnet"
"18","Teleost",105,90,85.7142857142857,1318.15,2110,0.678392218419495,12.5538095238095,1.50953345521005,15.4681149951063,"all",6,"Demersal gillnet"
"19","Batoidea",334,0,0,0,0,0,0,0,0,"all",1,"Seine net"
"20","Cephalopoda",334,2,0.598802395209581,6,15,0.00015285989559356,0.0179640718562874,0.0133735352983524,0.244410276154004,"all",2,"Seine net"
"21","Decapoda",334,1,0.29940119760479,1,1,2.54766492655933e-05,0.0029940119760479,0.0029940119760479,0.0547175655164583,"all",3,"Seine net"
"22","Gastropoda",334,1,0.29940119760479,5,400,0.000127383246327966,0.0149700598802395,0.0149700598802395,0.273587827582291,"all",4,"Seine net"
"23","Selachimorpha",334,0,0,0,0,0,0,0,0,"all",5,"Seine net"
"24","Teleost",334,293,87.7245508982036,39239.6295834288,290897,0.999694280208813,117.483920908469,13.8402690235289,252.940146238158,"all",6,"Seine net"
"25","Batoidea",8720,18,0.206422018348624,292,26,0.00157121672873287,0.0334862385321101,0.0139295516686595,1.30075463193315,"all",1,"Hook & line"
"26","Cephalopoda",8720,34,0.389908256880734,111.95,87,0.000602389427334399,0.0128383027522936,0.00363115885494574,0.339081028033566,"all",2,"Hook & line"
"27","Decapoda",8720,9,0.103211009174312,12,12,6.45705504958712e-05,0.00137614678899083,0.000512677250578077,0.0478742836983467,"all",3,"Hook & line"
"28","Gastropoda",8720,0,0,0,0,0,0,0,0,"all",4,"Hook & line"
"29","Selachimorpha",8720,80,0.917431192660551,1218.3,94,0.00655552513909333,0.139713302752294,0.0297693611095514,2.77989093073703,"all",5,"Hook & line"
"30","Teleost",8720,8219,94.2545871559633,184208.985156673,616423,0.991206298154344,21.1248836188845,0.327322591438464,30.5656913501305,"all",6,"Hook & line"
"31","Batoidea",1757,36,2.04894706886739,247.166666666667,21.325,0.0123833617291905,0.140675393663441,0.0303800538317492,1.27342807320661,"all",1,"Spear fishing"
"32","Cephalopoda",1757,1269,72.2253841775754,11643.379969808,16693.6446359196,0.583348021240231,6.62685257245758,0.22269316270012,9.33453662274741,"all",2,"Spear fishing"
"33","Decapoda",1757,29,1.6505406943654,100.433333333333,57.3083333333333,0.00503183666757264,0.0571618288749763,0.0294548922407857,1.23464845982244,"all",3,"Spear fishing"
"34","Gastropoda",1757,102,5.8053500284576,740.366666666667,77629.1833333333,0.0370933037581998,0.421381142098274,0.0567431982090975,2.37848102452923,"all",4,"Spear fishing"
"35","Selachimorpha",1757,7,0.398406374501992,25,4.75,0.00125253153026202,0.0142287990893569,0.0060557531683769,0.25383648533769,"all",5,"Spear fishing"
"36","Teleost",1757,898,51.1098463289698,7203.23074420024,7438.66028693529,0.360890945074544,4.09973292214015,0.203005951279194,8.50931597483792,"all",6,"Spear fishing"
